date,open,high,low,close,volume
2022-12-08,3.396,3.4261,3.3434,3.396,18988040.0
2022-12-09,3.3885,3.5237,3.3885,3.4787,18661494.0
2022-12-12,3.4787,3.5388,3.4261,3.4937,18184082.0
2022-12-13,3.4862,3.5162,3.4411,3.4787,30159878.0
2022-12-14,3.4561,3.4862,3.411,3.4261,26782569.0
2022-12-15,3.4186,3.4862,3.3509,3.381,22854923.0
2022-12-16,3.381,3.4787,3.3134,3.4787,39703921.0
2022-12-19,3.4035,3.4636,3.3434,3.3735,41231561.0
2022-12-20,3.3509,3.4411,3.3359,3.3735,27020995.0
2022-12-21,3.3885,3.4336,3.3434,3.3585,27989642.0
2022-12-22,3.411,3.4561,3.411,3.4411,26129028.0
2022-12-23,3.381,3.4561,3.381,3.396,6259725.0
2022-12-28,3.4561,3.4862,3.4261,3.4787,15381264.0
2022-12-29,3.4186,3.4636,3.3735,3.4186,11194464.0
2022-12-30,3.4186,3.4636,3.396,3.411,12286181.0
2023-01-03,3.366,3.5012,3.3284,3.5012,13134154.0
2023-01-04,3.5012,3.5839,3.4937,3.5313,21211966.0
2023-01-05,3.5313,3.5763,3.5087,3.5162,33608615.0
2023-01-06,3.5613,3.5613,3.5012,3.5388,18912033.0
2023-01-09,3.5914,3.5914,3.5463,3.5839,14222335.0
2023-01-10,3.5914,3.689,3.5763,3.6665,36360261.0
2023-01-11,3.6815,3.7191,3.6064,3.6214,36590169.0
2023-01-12,3.7041,3.7041,3.6515,3.674,29213451.0
2023-01-13,3.6815,3.7041,3.644,3.689,15436213.0
2023-01-16,3.6966,3.7191,3.6515,3.674,15087720.0
2023-01-17,3.674,3.6815,3.5463,3.5538,18255073.0
2023-01-18,3.5463,3.6214,3.5237,3.5388,11591334.0
2023-01-19,3.4937,3.5388,3.4561,3.5237,17326367.0
2023-01-20,3.5313,3.5839,3.5012,3.5763,11184819.0
2023-01-26,3.6214,3.6815,3.5763,3.659,36683891.0
2023-01-27,3.6665,3.7191,3.6364,3.689,17270334.0
