REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,ACCEPT_INVEST_CASH,ASSIGN_DIVIDEND_PORFIT,BEGIN_CASH,BUY_SUBSIDIARY_EQUITY,CCE_ADD,CONSTRUCT_LONG_ASSET,DISPOSAL_LONG_ASSET,END_CASH,FA_IR_DEPR,FINANCE_OUTFLOW_OTHER,INVEST_OUTFLOW_OTHER,ISSUE_BOND,NETCASH_FINANCE,NETCASH_INVEST,NETCASH_OPERATE,NETCASH_OPERATE_BEFORE_FINANCE,OBTAIN_SUBSIDIARY_OTHER,OPERATE_INFLOW_BALANCE,OPERATE_NETCASH_OTHER,OPERATE_OUTFLOW_OTHER,OPERATE_PROFIT,PAY_ALL_TAX,PAY_DEBT_CASH,RECEIVE_LOAN_CASH,SUBSIDIARY_ACCEPT_INVEST,偿还融资租赁,减:出售资产之溢利,减:利息收入,减:应占附属公司溢利,减:投资收益,减:汇兑收益,减:重估盈余,加:减值及拨备,加:利息支出,加:购股权开支,发行相关费用,吸收投资所得,处置无形资产及其他资产,存款减少(增加),存货(增加)减少,已付利息(经营),已收利息(投资),已收利息(经营),已收股息(投资),应付帐款及应计费用增加(减少),应收关联方款项(增加)减少,应收关联方款项(增加)减少(投资),应收帐款减少,投资支付现金,收回投资所得现金,期间变动其他项目,营运资本变动其他项目,购买子公司少数股权而支付的现金,购建无形资产及其他资产,赎回债券,除税前溢利(业务利润),非运算项目
2018-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2017-04-01 00:00:00,3119155412.1,2760469611.9,17321193971.9,,-6259281637.7,1369856296.9,254825252.5,11620515697.7,3014521428.1,-384900889.1,-6179039193.6,5651392146.4,5497956218.3,-7001591842.7,-4755646013.3,-11757237856.0,13865260.5,-389805607.1,2594287705.1,,8088703723.1,2834159855.8,42283737368.6,46693795694.0,1009642488.4,,15808283.4,202130974.5,-15757978.6,1798396.6,,-61283822.6,4464551.0,1654776396.0,,,11463206.3,,706870473.4,-6273360693.6,1531680550.4,202130974.5,,1798396.6,,,,,631740254.6,1037536.5,558603363.5,-2205148636.6,,983395959.0,4548742370.9,963349496.2,
2018-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2018-04-01 00:00:00,,,12227589282.2,,5492863122.4,623740265.4,701359.6,17290155056.8,1243603203.2,-68461960.2,,,4576047176.6,-1306169772.8,2222985718.6,,699659133.8,3246315691.2,309756129.0,,1999576219.6,534773461.8,11545967000.0,16177587000.0,,,-6173287.8,35054746.8,-6795248.2,780758.8,,752631633.4,,475389476.8,,,12889136.8,,55910270.0,-1281853767.8,488556510.8,35054746.8,,780758.8,9327824632.6,,,-7526322950.6,31700130.6,219869618.0,-430297347.8,727091557.4,,263386996.2,,746326013.6,
2018-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2018-04-01 00:00:00,,2337964912.0,12712878546.4,,3272827554.4,496100387.2,622725821.6,15220450134.4,2715378461.6,-129487181.6,-823914904.8,,2571458718.4,-2071471583.2,2772840419.2,701368836.0,736088158.4,4537499682.4,560689196.0,,5625672176.0,717872036.8,18505048000.0,23320488000.0,,,-16895315.2,78931940.8,-11839103.2,1121309.6,,898843151.2,,1056507536.0,,,223470812.0,,-192596962.4,-2404727548.0,1046787226.4,78931940.8,,1121309.6,9104483616.0,,,-8311896588.0,183420109.6,233865283.2,-765255966.4,523968026.4,,575995416.0,,2243258965.6,
2018-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2018-04-01 00:00:00,,2992272841.6,12683310274.4,,11262785728.0,2406176151.2,784916731.2,23333919152.0,4080460654.4,-609987489.6,,,1432040996.0,-3556825947.2,13387570679.2,,715131713.6,16269881330.4,1068209037.6,,10485727360.8,1263316087.2,25248340160.0,30052580160.0,-144854699.2,,130352757.6,119934420.0,-40396795.2,1578536.0,,613137698.4,-124368047.2,1643640315.2,,,230061327.2,,-166947340.0,954190696.0,1618994564.0,119934420.0,,1578536.0,9678285607.2,,,-5390981831.2,455400772.8,233321347.2,-612176850.4,542659497.6,,808066304.8,,4642392017.6,
2019-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2018-04-01 00:00:00,,3105105000.0,11620516000.0,,5714880000.0,3607287000.0,869966000.0,17930327000.0,,-1055520000.0,,4528170000.0,822891000.0,-4659650000.0,9551639000.0,,667490000.0,13867979000.0,,,,2139954000.0,38237880000.0,38239322000.0,-141587000.0,,,,,,,,,,,67802000.0,521706000.0,,94562000.0,,2176386000.0,183803000.0,,1543000.0,,,,,527112000.0,228059000.0,594931000.0,,,1094107000.0,,,
2019-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2019-04-01 00:00:00,2062410000.0,,18306322393.8,,462997295.6,880209089.2,16478655.9,18681344153.5,1507566712.4,-93186558.5,,,3521688819.6,-2085577739.0,-973113785.0,,,811118354.2,403496767.1,,4592746455.5,990403655.5,9530011626.8,11137014000.0,-124810178.5,175792953.7,58984926.0,95365838.4,-9459587.2,,-300726876.8,-84318195.5,,790741743.4,,,121255958.6,,-2550513.7,-1046700573.8,793828483.7,95365838.4,,,10168038784.4,,499123844.1,-12902966311.9,35322208.6,251057169.3,-87975535.9,,,906463568.5,,1650787337.5,
2019-09-30,00992.HK,00992,联想集团,10009194,002,3-31,2019-04-01 00:00:00,2121870000.0,2557949649.5,18834100056.6,,5123304625.3,750809553.7,44927060.8,23417947526.0,3197085185.1,-243031916.9,-1941298863.0,,-83750208.9,-3563341165.8,8770396000.0,5207054834.2,11429806.4,12029185164.7,874896511.3,,9380815561.6,1391345523.5,9902060000.0,16409128000.0,-128408499.5,475433265.1,78664793.8,173102154.6,-52678959.2,16904231.0,,143544505.5,,1776995396.0,,,124751810.2,,35244260.7,-2801766658.3,1867443641.2,173102154.6,,16904231.0,19557997225.8,,,-14803218982.1,194151105.0,364537266.0,-539457155.9,695358017.7,,1171958311.3,5561025187.6,3891375194.9,
2019-12-31,00992.HK,00992,联想集团,10009194,004,3-31,2019-04-01 00:00:00,2092860000.0,3227524977.6,18576602074.8,,6206313544.2,3374680940.4,85744474.2,24562635127.8,4906138221.6,-604724920.8,,,-1182256614.0,-5017115611.2,12405685769.4,,11273539.2,16971476121.6,1344139335.0,,14732625184.2,2097122458.2,20440572952.8,21255086160.0,-126652911.0,687783558.0,100122422.4,264000336.6,-77484653.4,43294297.2,,251505962.4,,2503304727.0,,,430403635.2,,35794882.2,-4029543810.6,2468667894.0,264000336.6,,43294297.2,27676573617.0,,506493048.6,-21923747953.8,328627853.4,416102425.2,-220280491.2,515569084.8,,1514323734.0,,6560481265.8,
2020-03-31,00992.HK,00992,联想集团,10009194,001,3-31,2019-04-01 00:00:00,2086170000.0,3445851000.0,17930327000.0,,6997261000.0,4618885000.0,106660000.0,25159119000.0,,-1106692000.0,,,-1658399000.0,-6654559000.0,15310219000.0,,11238000.0,20849925000.0,,,,2725525000.0,27273502000.0,28461409000.0,-126248000.0,910912000.0,,,,,,,,,,,530979000.0,,25938000.0,,2814181000.0,332744000.0,,44581000.0,,,504877000.0,,604482000.0,709986000.0,231531000.0,,,2008738000.0,,,
2020-06-30,00992.HK,00992,联想集团,10009194,003,3-31,2020-04-01 00:00:00,,42477000.0,25139233705.0,117342712.5,-417874567.0,875316459.5,125009811.0,24747326744.0,1535925843.0,-263760931.5,-831062505.0,7104278250.0,-644871655.0,-2018032713.5,2245029801.5,,2145088.5,4421225624.5,464627585.0,,4441607505.0,1671838084.0,17244876175.5,10116605500.0,-36537299.5,181610413.5,444472248.5,56572284.5,-35114320.0,2159247.5,,198105648.5,,756317144.0,,31751557.5,16063385.5,,111849020.5,-1613007439.0,504357739.0,56572284.5,,2159247.5,10935901876.0,,,-8922208896.0,375305533.5,115714427.5,25967606.0,-421067421.5,,308970618.5,,2350932042.0,
