日期,00288.HK_close,00288.HK_volume,00288.HK_turnover
2025-07-04,7.1399,15218078.0,
2025-07-07,7.1399,19453970.0,
2025-07-08,7.0741,19768456.0,
2025-07-09,6.98,30070503.0,
2025-07-10,7.0458,22495694.0,
2025-07-11,7.1775,38893455.0,
2025-07-14,7.3469,17814703.0,
2025-07-15,7.187,26470272.0,
2025-07-16,7.2716,25552335.0,
2025-07-17,7.281,18963976.0,
2025-07-18,7.4692,24209502.0,
2025-07-21,7.6761,23783143.0,
2025-07-22,7.6009,25718863.0,
2025-07-23,7.535,19247022.0,
2025-07-24,7.4974,24872656.0,
2025-07-25,7.4504,14691522.0,
2025-07-28,7.4974,12775145.0,
2025-07-29,7.6197,19827773.0,
2025-07-30,7.5726,24685701.0,
2025-07-31,7.4409,18070858.0,
2025-08-01,7.4974,18966400.0,
2025-08-04,7.4974,22720219.0,
2025-08-05,7.4504,21682377.0,
2025-08-06,7.5538,16847687.0,
2025-08-07,7.6103,16193630.0,
2025-08-08,7.6573,12322728.0,
2025-08-11,7.5162,17347373.0,
2025-08-12,7.4033,30772904.0,
2025-08-13,7.8643,40912257.0,
2025-08-14,7.7326,23799966.0,
2025-08-15,7.5726,30193507.0,
2025-08-18,7.5068,25847651.0,
2025-08-19,7.742,34005186.0,
2025-08-20,7.789,32856728.0,
2025-08-21,7.7608,20969486.0,
2025-08-22,7.789,26574064.0,
2025-08-25,7.9143,16808020.0,
2025-08-26,7.8179,35039520.0,
2025-08-27,7.8854,33356709.0,
2025-08-28,7.9625,27159126.0,
2025-08-29,8.0396,29881309.0,
2025-09-01,8.0975,19162654.0,
2025-09-02,8.1457,25500072.0,
2025-09-03,8.0878,25370026.0,
2025-09-04,8.1071,29848226.0,
2025-09-05,8.0396,25531168.0,
2025-09-08,8.0878,18698193.0,
2025-09-09,8.2228,33403892.0,
2025-09-10,8.406,24090339.0,
2025-09-11,8.5602,29103222.0,
2025-09-12,8.4927,21998837.0,
2025-09-15,8.4734,18926388.0,
2025-09-16,8.4349,20235805.0,
2025-09-17,8.2999,20131633.0,
2025-09-18,8.2806,32191184.0,
2025-09-19,8.2903,37701911.0,
2025-09-22,8.2806,22905677.0,
2025-09-23,8.1842,20546964.0,
2025-09-24,8.1746,27033809.0,
2025-09-25,8.0975,21876560.0,
2025-09-26,8.2132,22073349.0,
2025-09-29,8.2517,18367796.0,
2025-09-30,8.1264,26578247.0,
2025-10-02,8.2035,20794089.0,
2025-10-03,8.03,18573558.0,
2025-10-06,7.86,15539946.0,
2025-10-08,7.92,20674762.0,
2025-10-09,7.86,36730329.0,
2025-10-10,7.72,35240772.0,
2025-10-13,7.65,23544254.0,
2025-10-14,7.35,40293845.0,
2025-10-15,7.55,22738556.0,
2025-10-16,7.39,33650949.0,
2025-10-17,7.29,22698864.0,
2025-10-20,7.37,22581792.0,
2025-10-21,7.34,29503743.0,
2025-10-22,7.31,32668015.0,
2025-10-23,7.3,16229358.0,
2025-10-24,7.4,17273275.0,
2025-10-27,7.39,19430122.0,
2025-10-28,7.35,21108578.0,
2025-10-30,7.34,50125670.0,
2025-10-31,7.46,32290628.0,
2025-11-03,7.81,57238467.0,
2025-11-04,7.76,30999126.0,
2025-11-05,7.79,29643836.0,
2025-11-06,7.96,28683373.0,
2025-11-07,7.97,26671407.0,
