SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001022,指定以公允价值记账之金融资产,5397013000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001030,中长期存款,50954000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001997,非流动资产其他项目,19314670000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004001999,非流动资产合计,272753869000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002001,存货,1672430000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002003,应收帐款,29100657000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002005,预付款按金及其他应收款,8430384000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002006,应收关联方款项,3427295000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002007,预缴及应收税项,73743000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002009,受限制存款及现金,5302000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002010,现金及等价物,6263294000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002013,指定以公允价值记账之金融资产(流动),51774000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002018,持作出售的资产(流动),3802048000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004002999,流动资产合计,52826927000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004009999,总资产,325580796000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011001,应付帐款,22565049000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011003,应付税项,565858000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011005,应付关联方款项(流动),6388028000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011006,融资租赁负债(流动),517100000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011008,其他应付款及应计费用,5607993000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011010,短期贷款,48826115000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011017,持作出售的负债(流动),2187532000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004011999,流动负债合计,86657675000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004013999,净流动资产,-33830748000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004015999,总资产减流动负债,238923121000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004020001,长期贷款,130487220000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004020003,递延税项负债,2946882000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004020005,融资租赁负债(非流动),3267204000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004020006,递延收入(非流动),92600000.0,2024-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2024-06-30 00:00:00,002,12-31,004020018,应付票据(非流动),1858101000.0,2024-06-30 00:00:00
