代码,stockCode,公告标题,公告时间,公告链接,url,announcementId,orgId,adjunctUrl,adjunctType,stockName
01810.HK,01810.HK,翌日披露报表,2025-10-14 18:58:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224712015&announcementTime=2025-10-14%2018%3A58,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224712015&announcementTime=2025-10-14%2018%3A58,1224712015,9900037222,finalpage/2025-10-14/1224712015.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-13 19:12:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224709512&announcementTime=2025-10-13%2019%3A12,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224709512&announcementTime=2025-10-13%2019%3A12,1224709512,9900037222,finalpage/2025-10-13/1224709512.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-10 18:58:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224706093&announcementTime=2025-10-10%2018%3A58,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224706093&announcementTime=2025-10-10%2018%3A58,1224706093,9900037222,finalpage/2025-10-10/1224706093.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-10-08 19:02:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224701064&announcementTime=2025-10-08%2019%3A02,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224701064&announcementTime=2025-10-08%2019%3A02,1224701064,9900037222,finalpage/2025-10-08/1224701064.PDF,PDF,小米集团-W
01810.HK,01810.HK,截至二零二五年九月三十日止之股份发行人的证券变动月报表,2025-10-08 18:36:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224700768&announcementTime=2025-10-08%2018%3A36,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224700768&announcementTime=2025-10-08%2018%3A36,1224700768,9900037222,finalpage/2025-10-08/1224700768.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-09-30 19:48:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224697235&announcementTime=2025-09-30%2019%3A48,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224697235&announcementTime=2025-09-30%2019%3A48,1224697235,9900037222,finalpage/2025-09-30/1224697235.PDF,PDF,小米集团-W
01810.HK,01810.HK,翌日披露报表,2025-09-29 19:10:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224692409&announcementTime=2025-09-29%2019%3A10,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224692409&announcementTime=2025-09-29%2019%3A10,1224692409,9900037222,finalpage/2025-09-29/1224692409.PDF,PDF,小米集团-W
01810.HK,01810.HK,致非登记持有人的通知信函及回条,2025-09-25 16:48:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224680751&announcementTime=2025-09-25%2016%3A48,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224680751&announcementTime=2025-09-25%2016%3A48,1224680751,9900037222,finalpage/2025-09-25/1224680751.PDF,PDF,小米集团-W
01810.HK,01810.HK,致登记股东的通知信函及回条,2025-09-25 16:44:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224680687&announcementTime=2025-09-25%2016%3A44,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224680687&announcementTime=2025-09-25%2016%3A44,1224680687,9900037222,finalpage/2025-09-25/1224680687.PDF,PDF,小米集团-W
01810.HK,01810.HK,2025年中期报告,2025-09-25 16:40:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224680620&announcementTime=2025-09-25%2016%3A40,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224680620&announcementTime=2025-09-25%2016%3A40,1224680620,9900037222,finalpage/2025-09-25/1224680620.PDF,PDF,小米集团-W
01810.HK,01810.HK,截至二零二五年八月三十一日止之股份发行人的证券变动月报表,2025-09-04 18:14:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224639105&announcementTime=2025-09-04%2018%3A14,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224639105&announcementTime=2025-09-04%2018%3A14,1224639105,9900037222,finalpage/2025-09-04/1224639105.PDF,PDF,小米集团-W
01810.HK,01810.HK,根据2023年股份计划授出奖励及根据2024年小米香港股份计划授出小米香港购股权,2025-08-20 20:50:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224527024&announcementTime=2025-08-20%2020%3A50,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224527024&announcementTime=2025-08-20%2020%3A50,1224527024,9900037222,finalpage/2025-08-20/1224527024.PDF,PDF,小米集团-W
01810.HK,01810.HK,提名委员会职权范围,2025-08-19 23:59:00,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224520651&announcementTime=2025-08-19%2023%3A59,https://www.cninfo.com.cn/new/disclosure/detail?plate=hke&orgId=9900037222&stockCode=01810&announcementId=1224520651&announcementTime=2025-08-19%2023%3A59,1224520651,9900037222,finalpage/2025-08-19/1224520651.PDF,PDF,小米集团-W
