REPORT_DATE,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,BASIC_EPS,CONTINUED_NETPROFIT,DILUTED_EPS,FINANCE_EXPENSE,GROSS_PROFIT,HOLDER_PROFIT,INCOME_TAX,INTEREST_INCOME,MANAGE_EXPENSE,MINORITY_INTEREST,NETPROFIT,NETPROFIT_OTHER,NON_OPERATING_ITEMS,OPERATE_COST,OPERATE_INCOME,OPERATE_PROFIT,OTHER_INCOME,PARENT_TCI,SALE_EXPENSE,TOTAL_PROFIT,全面收益总额,其他全面收益,其他全面收益其他项目,其他支出,其他收入,其他营业收入,应占合营公司溢利,应占联营公司溢利,终止或非持续业务溢利,股息,销售成本,非控股权益应占全面收益总额
2020-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2020-01-01 00:00:00,0.066,2064127000.0,0.066,174323000.0,9855731000.0,1240612000.0,546325000.0,,1053643000.0,823515000.0,2064127000.0,,-4281783000.0,,25295550000.0,2825963000.0,352279000.0,1238339000.0,4612527000.0,2610452000.0,2114957000.0,50830000.0,50830000.0,1715877000.0,,,,-41188000.0,,,2792044000.0,876618000.0
2020-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2020-01-01 00:00:00,0.1474,,0.1474,323368000.0,18464904000.0,2771086000.0,672377000.0,,2655926000.0,1569581000.0,4340667000.0,,11441881000.0,,47294448000.0,5339645000.0,1241223000.0,3112163000.0,8972635000.0,5013044000.0,4682016000.0,341349000.0,341349000.0,2737921000.0,,,,-3233000.0,,,5182320000.0,1569853000.0
2021-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2021-01-01 00:00:00,0.4515,9641604000.0,0.4338,147223000.0,11600660000.0,8480340000.0,1336911000.0,,1126360000.0,1161264000.0,9641604000.0,,-708036000.0,,28707562000.0,3540758000.0,326435000.0,8758176000.0,5665489000.0,10978515000.0,9905092000.0,263488000.0,263488000.0,1594488000.0,,,,7584980000.0,,,2753121000.0,1146916000.0
2021-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2021-01-01 00:00:00,0.7783,16614793000.0,0.7326,308617000.0,21529261000.0,14608412000.0,1957880000.0,,2185234000.0,2006381000.0,16614793000.0,,-9009354000.0,,53722712000.0,5250500000.0,807013000.0,14811893000.0,10518393000.0,18572673000.0,16815754000.0,200961000.0,200961000.0,4382147000.0,,,,13630790000.0,,,5332095000.0,2003861000.0
2022-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2022-01-01 00:00:00,0.103,3183221000.0,0.092,169271000.0,12234139000.0,1921037000.0,571391000.0,,1182354000.0,1262184000.0,3183221000.0,,-5008203000.0,,30387476000.0,3420728000.0,259265000.0,1313343000.0,5751550000.0,3754612000.0,2575491000.0,-607730000.0,-607730000.0,2138772000.0,,,,503155000.0,,,2959599000.0,1262148000.0
2022-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2022-01-01 00:00:00,0.1366,4518153000.0,0.1215,429494000.0,21538548000.0,2543570000.0,696716000.0,,1899408000.0,2459048000.0,5002618000.0,,-9031771999.7883,,52052328000.0,5797339000.0,689626000.0,1830032000.0,9809372000.0,5214869000.0,4289080000.0,-713538000.0,-713538000.0,4722055000.0,,,,-152976000.0,484465000.0,,4487616000.0,2459048000.0
2023-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2023-01-01 00:00:00,0.0678,2556130000.0,0.0678,293425000.0,11683913000.0,1258784000.0,497992000.0,,1005120000.0,1440640000.0,2699424000.0,,-4925193999.8784,,28567344000.0,3566985000.0,528425000.0,1434530000.0,5220925000.0,3054122000.0,2875973000.0,176549000.0,176549000.0,2419308000.0,,,,-219438000.0,143294000.0,,2599759000.0,1441443000.0
2023-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2023-01-01 00:00:00,0.1259,4612639000.0,0.1259,495237000.0,21209532000.0,2331939000.0,797267000.0,378335000.0,1873284000.0,2765459000.0,5097398000.0,,-9419764999.7958,,52398818000.0,6052518000.0,756097000.0,2421926000.0,9193351000.0,5409906000.0,5187385000.0,89987000.0,89987000.0,4846476000.0,,,,-525710000.0,484759000.0,,4989877000.0,2765459000.0
2024-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2024-01-01 00:00:00,0.1639,2999923000.0,0.1639,153739000.0,13029623000.0,3017162000.0,614093000.0,223848000.0,1051187000.0,1589526000.0,4606688000.0,,-5093715999.8468,,31748806000.0,3636963000.0,167205000.0,3275666000.0,5796755000.0,3614016000.0,4865985000.0,259297000.0,259297000.0,2711923000.0,,,,-93056000.0,1606765000.0,,2844780000.0,1590319000.0
2024-12-31,01177.HK,01177,中国生物制药,10010529,001,12-31,2024-01-01 00:00:00,0.1913,4784550000.0,0.1913,295117000.0,23529941000.0,3499834000.0,492918000.0,499564000.0,2081510000.0,2864848000.0,6364682000.0,,-10015883999.7901,,57732318000.0,5191320000.0,1207037000.0,3707747000.0,10077966000.0,5277468000.0,6569772000.0,205090000.0,205090000.0,7386182000.0,,,,-118299000.0,1580132000.0,,5336218000.0,2862025000.0
2025-06-30,01177.HK,01177,中国生物制药,10010529,002,12-31,2025-01-01 00:00:00,0.1882,4985639000.0,0.188,123204000.0,14493694000.0,3388591000.0,981324000.0,373576000.0,1093529000.0,1597048000.0,4985639000.0,,-6903103999.6238,,35149556000.0,5721414000.0,2312929000.0,2503699000.0,6449904000.0,5966963000.0,4100805000.0,-884834000.0,-884834000.0,3541776000.0,,,,-4823000.0,,,3081084000.0,1597106000.0
